index,time,tweets
98,2020-11-19 03:31:56,Safety is our primary design goal
99,2020-11-19 01:22:22,Fully
100,2020-11-18 23:47:04,Let the Martians decide their own future
101,2020-11-18 23:34:26,A lot of my brain space is spent dealing with both units!
102,2020-11-18 23:29:52,"Terraforming will be too slow to be relevant in our lifetime. However, we can establish a human base"
103,2020-11-18 18:30:16,That is certainly the intention!
104,2020-11-18 17:34:50,
105,2020-11-18 17:31:40,The only publicly traded stock I own is Tesla
106,2020-11-18 17:31:01,Wise words from Bogle. The point of companies is products &amp; services. They have no point in &amp; of thems
107,2020-11-18 16:45:53,"No, just a mild cold. Same with my bro. Def had cov2 though. Pc&lt;20 means viral"
108,2020-11-18 16:42:36,"Life in glass domes at first. Eventually, terraformed to support life, like Earth."
109,2020-11-18 16:29:29,Yeah
110,2020-11-18 16:09:50,"I was going to say Sim!, but that seemed too obvious haha"
111,2020-11-18 15:44:23,Deveras!
112,2020-11-18 08:29:05,"And cases with high (non-infectious) Ct should quarantine for a few days, while getting another test. Seco"
113,2020-11-18 08:10:13,So many things you want &amp; some you didnt know you wanted
114,2020-11-18 07:43:46,Maybe a little Mercy
115,2020-11-18 07:41:37,Tesla holiday software release is
116,2020-11-18 07:37:39,
117,2020-11-18 07:09:54,Cobra Kai is a deep cut
118,2020-11-18 07:02:30,Its all cake &amp; someone took a bite
119,2020-11-18 06:42:59,There is such a thing as too much sentience
120,2020-11-17 22:07:17,Deus ex machine learning
121,2020-11-17 21:02:30,"Its designed to make life multiplanetary, otherwise extreme overkill for mere Earth sector activity!"
122,2020-11-17 20:02:15,More like he gave it his blessing. It was sort of a groundswell of those who believed
123,2020-11-17 19:20:28,Nullius in Verba
124,2020-11-17 18:48:50,Indeed
125,2020-11-17 18:45:21,Dojo/Doge
126,2020-11-17 18:43:41,"Yeah, looks like marginal cost of launch will be less than $1M for more than"
127,2020-11-17 18:38:15,Exactly
128,2020-11-17 18:28:52,"Merlin is a strong local maximum design, but kerosene is suboptimal fuel, no matter what"
129,2020-11-17 17:32:54,"Yes, but from a visiting American. Ah, the irony is just too much!!"
130,2020-11-17 17:10:30,"Yeah, PCR Ct was unequivocal at &lt;20. Doesnt matter what m"
131,2020-11-17 17:08:01,Maybe making some notable changes. Will wait until figurative &amp; literal dust settles.
132,2020-11-17 17:05:37,"Pretty close. Definitely feel if I take DayQuil. Frankly, this was one"
