index,time,text
63,2020-11-21 17:34:45,Landing at Vandenberg AFB in California https://t.co/46J2GcCjP0
64,2020-11-21 17:29:57,"@tobyliiiiiiiiii @SpaceX @NASA @NASA_LSP @NASAJPL @esa Actually, off to the side (so it doesn’t take out the launch… https://t.co/Fr9aUCYWCO"
65,2020-11-21 17:28:32,@tobyliiiiiiiiii @SpaceX @NASA @NASA_LSP @NASAJPL @esa Where it should be!
66,2020-11-21 16:33:40,"@philwhln @heydave7 Because I am not an investor. Tesla is definitely not the only good company, but investing is n… https://t.co/wDUz0wnuIn"
67,2020-11-21 16:30:40,"Well, almost anything https://t.co/FFPVDsqruC"
68,2020-11-21 14:44:07,Quite the day ahead https://t.co/apZNgmo0k7
69,2020-11-21 14:39:18,RT @SpaceX: Crew-1’s view of Earth during Dragon’s flight to the @space_station https://t.co/lQW6TYmpB7
70,2020-11-21 06:19:36,@NASAaero @LockheedMartin Now *this* is what you’d call pointy!
71,2020-11-21 04:43:51,@cleantechnica Cool
72,2020-11-21 04:36:51,"@Astro_Fonseca @Space_Station @wonderofscience @VirtualAstro They’re moving at ~25 times the speed of sound, but it feels like nothing"
73,2020-11-21 03:31:02,@WorldAndScience https://t.co/XAJaN4j9ZR
74,2020-11-20 20:06:46,@vicentes @EvaFoxU @PPathole @mirojurcevic @TashaARK @Space_Station There will always be upgrades
75,2020-11-20 20:00:35,@EvaFoxU @PPathole @mirojurcevic @TashaARK @Space_Station It will be better than human vision by quite a margin
76,2020-11-20 19:57:48,@enn_nafnlaus @mirojurcevic @TashaARK @Space_Station Reality looks like a strange ghost-world at radar wavelengths.… https://t.co/DMGov9rcnu
77,2020-11-20 19:55:10,@PPathole @mirojurcevic @TashaARK @Space_Station Exactly
78,2020-11-20 18:03:45,@mirojurcevic @TashaARK This is a misperception. SpaceX developed &amp; continues to use lidar for Dragon docking with… https://t.co/3I0bWGjlQp
79,2020-11-20 17:55:42,@PhilippeCROIZON @SpaceX One day we will fly you on Starship
80,2020-11-20 16:02:44,@Peter_J_Beck Well done!
81,2020-11-20 15:49:13,"@hisdirtremoves @SpaceX I can’t comment on turbopump internal details, but you’re roughly in the ballpark. Wow, roc… https://t.co/0SRlFg03Fg"
82,2020-11-20 15:43:39,"@TashaARK To be clear, this was just an XPeng problem. Other companies in China have not done this."
83,2020-11-20 15:24:26,"@IsaacLatterell @TashaARK @karpathy Andrej is awesome, but it should be said that we have a very talented Autopilot… https://t.co/64ocngk3ey"
84,2020-11-20 15:20:10,"@spacetouristuk @TashaARK Yeah. They stole Apple’s code too.
https://t.co/gy4DT7Pq9N"
85,2020-11-20 15:14:03,@TashaARK They have an old version of our software &amp; don’t have our NN inference computer
86,2020-11-20 02:51:15,@levie Wild times!
87,2020-11-20 02:46:39,@RocketLab Congrats!
88,2020-11-20 01:10:49,@slashdot .@TheOnion
89,2020-11-19 21:04:15,@ID_AA_Carmack Yup
90,2020-11-19 21:02:15,"@flcnhvy Change out a few parts, otherwise fine"
91,2020-11-19 17:56:28,@Forbes Caution strongly advised with SPACs
92,2020-11-19 17:02:49,@AdamKIotz @Suvitruf @archillect Sure
93,2020-11-19 15:36:29,@Suvitruf @archillect Haha sexy cropping champion of all time
94,2020-11-19 15:17:04,"@tweetmenima @teslaownerssv If next week’s release looks good, we will widen beta"
95,2020-11-19 15:14:05,"@justpaulinelol @teslaownerssv Unfortunately, there are too many rules around liquor distribution, even in the US.… https://t.co/kvHlbueE1u"
96,2020-11-19 15:11:03,"@teslaownerssv Next week’s release is special. Lot of fundamental improvements, both important bug fixes &amp; entire n… https://t.co/BV5STdWNgj"
97,2020-11-19 05:24:26,@westcoastbill @SpaceX 13 years &amp; $11 billion … wow
98,2020-11-19 03:31:56,@OwenSparks_ @flcnhvy @Tesla Safety is our primary design goal
99,2020-11-19 01:22:22,@PPathole @AstroJordy @flcnhvy Fully
100,2020-11-18 23:47:04,@Astronomiaum Let the Martians decide their own future
101,2020-11-18 23:34:26,@shifthappends @Tesla A lot of my brain space is spent dealing with both units!
102,2020-11-18 23:29:52,"@Astronomiaum Terraforming will be too slow to be relevant in our lifetime. However, we can establish a human base… https://t.co/uygaAE7g3r"
103,2020-11-18 18:30:16,@PPathole @xDreamCoding @garyblack00 That is certainly the intention!
104,2020-11-18 17:34:50,@xDreamCoding @garyblack00 https://t.co/fREZwjCwNa
105,2020-11-18 17:31:40,@garyblack00 The only publicly traded stock I own is Tesla
106,2020-11-18 17:31:01,@garyblack00 Wise words from Bogle. The point of companies is products &amp; services. They have no point in &amp; of thems… https://t.co/eNCU8cBLpy
107,2020-11-18 16:45:53,"@teslaownerssv @AstroJordy @flcnhvy No, just a mild cold. Same with my bro. Def had cov2 though. Pc&lt;20 means viral… https://t.co/UySAnpqtFI"
108,2020-11-18 16:42:36,"@Astronomiaum Life in glass domes at first. Eventually, terraformed to support life, like Earth."
109,2020-11-18 16:29:29,@AstroJordy @flcnhvy Yeah
110,2020-11-18 16:09:50,"@Daywalker_xD @Astronomiaum I was going to say “Sim!”, but that seemed too obvious haha"
111,2020-11-18 15:44:23,@Astronomiaum Deveras!
112,2020-11-18 08:29:05,"@flcnhvy And cases with high (non-infectious) Ct should quarantine for a few days, while getting another test. Seco… https://t.co/oAlvZwCMIO"
113,2020-11-18 08:10:13,@tobyliiiiiiiiii So many things you want &amp; some you didn’t know you wanted
114,2020-11-18 07:43:46,@nichegamer Maybe a little Mercy … https://t.co/9iE40HOihr
115,2020-11-18 07:41:37,Tesla holiday software release is 🔥🔥
116,2020-11-18 07:37:39,@StaceyR28715306 @Maisie_Williams 😏
117,2020-11-18 07:09:54,Cobra Kai is a deep cut
118,2020-11-18 07:02:30,@archillect It’s all cake &amp; someone took a bite
119,2020-11-18 06:42:59,@nichegamer There is such a thing as too much sentience
120,2020-11-17 22:07:17,Deus ex machine learning https://t.co/5ZSYalVczx
121,2020-11-17 21:02:30,"@peterrhague It’s designed to make life multiplanetary, otherwise extreme overkill for mere Earth sector activity!… https://t.co/yjLTT8pEEu"
122,2020-11-17 20:02:15,@Kristennetten @royalsociety More like he gave it his blessing. It was sort of a groundswell of those who believed… https://t.co/fwK1ziHfEg
123,2020-11-17 19:20:28,Nullius in Verba @royalsociety
124,2020-11-17 18:48:50,@westcoastbill Indeed
125,2020-11-17 18:45:21,@ReflexFunds @nickidk4 @pcgamer Dojo/Doge
126,2020-11-17 18:43:41,"@PPathole @Erdayastronaut @rweb11742 Yeah, looks like marginal cost of launch will be less than $1M for more than 1… https://t.co/rNSJ5FkDXT"
127,2020-11-17 18:38:15,@speculawyer @Erdayastronaut @rweb11742 Exactly
128,2020-11-17 18:28:52,"@Erdayastronaut @rweb11742 Merlin is a strong local maximum design, but kerosene is suboptimal fuel, no matter what… https://t.co/JoetYsKGp7"
129,2020-11-17 17:32:54,"@parstalberg @josh_bickett @ICannot_Enough @Erdayastronaut @rweb11742 Yes, but from a visiting American. Ah, the irony is just too much!!"
130,2020-11-17 17:10:30,"@josh_bickett @ICannot_Enough @Erdayastronaut @rweb11742 Yeah, PCR Ct was unequivocal at &lt;20. Doesn’t matter what m… https://t.co/YJdogoKX8Q"
131,2020-11-17 17:08:01,@flcnhvy @LUGG4S1 @pcgamer Maybe making some notable changes. Will wait until figurative &amp; literal dust settles.
132,2020-11-17 17:05:37,"@ICannot_Enough @Erdayastronaut @rweb11742 Pretty close. Definitely feel 💯 if I take DayQuil. Frankly, this was one… https://t.co/hj0ThLR48N"
133,2020-11-17 16:54:09,@LUGG4S1 @pcgamer Avionics cables moving to steel pipe shields &amp; adding water-cooled steel pipes to test pad
134,2020-11-17 16:49:43,"@LUGG4S1 @pcgamer About 2 secs after starting engines, martyte covering concrete below shattered, sending blades of… https://t.co/vilv1S16Yo"
135,2020-11-17 16:42:19,@Erdayastronaut @rweb11742 The most amazing thing about rocket engines is that they *sometimes* don’t blow up! The… https://t.co/EUXoocFR9T
136,2020-11-17 16:33:09,@pcgamer We should just count the atoms at this point
137,2020-11-17 16:20:08,@DJSnM @Erdayastronaut @CharlesNOtrumps @rweb11742 Absolutely. Production/testing of rocket engines is over 90% of… https://t.co/Tv3piXzp4I
138,2020-11-17 16:10:22,@Erdayastronaut @CharlesNOtrumps @rweb11742 Our first Merlin engine design was really bad tbh. Nothing worked well… https://t.co/Y5njREPvtc
139,2020-11-17 15:58:51,@billhuang688 @JohnnaCrider1 @timmerenginerd @jack Maybe *I* just love irony haha
140,2020-11-17 15:57:41,"@GreenIsClutch @JohnnaCrider1 @timmerenginerd @jack They’re on their way! Hopefully, more Teslaquila next month."
141,2020-11-17 15:54:47,@ChrisG_NSF Special permission received from Stonecutters Guild! https://t.co/SW5RBm1sRB
142,2020-11-17 15:46:44,@JohnnaCrider1 @timmerenginerd @jack Fate 🖤 Irony
143,2020-11-17 15:41:36,@jack Well said.
144,2020-11-17 06:54:03,"@trylolli @Maisie_Williams 👻 💵 
https://t.co/UWerAhxUev"
145,2020-11-17 05:15:10,"@Erdayastronaut @rweb11742 Damn, that’s not easy! I spent quite a bit of time looking at Russian/Ukrainian engines. They’re good."
146,2020-11-17 04:37:18,@PPathole @michaelmina_lab Yes
147,2020-11-17 04:19:03,RT @SpaceX: Docking confirmed – Crew Dragon has arrived at the @space_station!
148,2020-11-16 22:02:51,@Maisie_Williams 🎶 Toss a bitcoin to ur Witcher 🎶
149,2020-11-16 21:34:57,@Kristennetten 😉
150,2020-11-16 21:19:59,"RT @NASA: 🐉 Enter the Crew Dragon. At 4:48 p.m. EST (9:48 p.m. UTC), the NASA @SpaceX Crew-1 astronauts give you a LIVE tour of their space…"
151,2020-11-16 19:46:00,"@WhatsupFranks @michaelmina_lab CureVac, Moderna &amp; a few others. Tesla makes the machine CureVac uses to go from kn… https://t.co/kVEPRq79Rl"
152,2020-11-16 19:37:38,@michaelmina_lab Creating synthetic mRNA for cures/vaccines is the future of medicine imo. Turns it (mostly) into a… https://t.co/Yp7djaWikS
153,2020-11-16 19:29:04,@gaertner_anne @Neuro_Skeptic @DresdenTea @judith_herbers Haha
154,2020-11-16 19:20:08,@michaelmina_lab Great thread
155,2020-11-16 19:07:06,"@SamTalksTesla I’m ok, thanks for asking. No symptoms for past few days, apart from fatigue. Unless something chang… https://t.co/S8EO2xB2sf"
156,2020-11-16 01:09:01,♥️
157,2020-11-16 00:23:02,Launch in 5 minutes
158,2020-11-16 00:13:05,"@flcnhvy Yeah, with cooling channels integrated into the chamber walls"
159,2020-11-16 00:00:41,"The same propellant is used either for abort or for orbital maneuvering, as one use obviates the other"
160,2020-11-15 23:58:27,"Dragon can also hover &amp; land propulsively, but we use the parachutes for maximum safety https://t.co/Mr7VFIQwWf"
161,2020-11-15 23:55:43,"Thrusters are integrated with spacecraft, enabling abort capability all the way to abort for increased safety https://t.co/KrOHKOr6AE"
162,2020-11-15 23:36:05,RT @NASA: What song would you play on your ride out to the launch pad? #LaunchAmerica https://t.co/vzhxUn6Yie
163,2020-11-15 23:31:22,RT @SpaceX: Dragon has completed 22 flights to and from the @space_station. It was designed from the beginning with human spaceflight in mi…
164,2020-11-15 23:31:11,RT @SpaceX: Dragon is the only spacecraft currently flying capable of returning significant amounts of cargo to Earth and is the first priv…
165,2020-11-15 22:58:51,RT @SpaceX: SpaceX’s custom-tailored suits route the communications and cooling systems and protect the crew in the event of cabin depressu…
166,2020-11-15 21:41:58,"RT @NASA: LIVE NOW: We are ready to #LaunchAmerica. Are you? 🚀

Watch coverage of the NASA @SpaceX Crew-1 mission. Liftoff is at 7:27pm ET:…"
167,2020-11-15 21:41:36,RT @SpaceX: Watch Falcon 9 launch Crew Dragon on its first operational mission to the @space_station with astronauts on board → https://t.c…
168,2020-11-15 16:02:04,@tboneagnoobs Ok
169,2020-11-15 15:00:27,RT @SpaceX: All systems are go for tonight’s launch at 7:27 p.m. EST of Crew Dragon’s first operational mission with four astronauts on boa…
170,2020-11-15 14:51:24,"@KlotzAdam @PPathole @AstroJordy @erujabidi Yeah, I feel pretty normal. No symptoms right now. Last week, I had sym… https://t.co/gL0mhrqJxY"
171,2020-11-15 14:44:50,"@PPathole @AstroJordy @erujabidi Doing tests from several different labs, same time of day, administered by RN &amp; am… https://t.co/hajhh7La7Q"
172,2020-11-15 14:21:29,"@PPathole @Mario_Livio Both obv insanely great, too bad they had this pointless argument"
173,2020-11-15 14:13:45,Astronaut launch today! https://t.co/3FAzZGss8c
174,2020-11-15 14:12:00,"RT @NASA: 🌸 @Astro_Soichi has a message for boys and girls in Japan: ""Space is waiting!"" 

In this @Tumblr Spotlight, @JAXA_en astronaut So…"
175,2020-11-15 09:02:07,"RT @NASA: This week...

🚀 NASA's @SpaceX Crew-1 astronauts arrive at @NASAKennedy ahead of launch
🔴 Our @NASAPersevere rover marks 100 days…"
176,2020-11-15 09:00:53,"RT @Astro_Soichi: #SpaceX #NASA #Crew1 just finished final dress rehearsal, getting ready for Saturday launch! Behind me is ""real"" #Dragon…"
177,2020-11-15 06:39:49,@Mario_Livio No kids though
178,2020-11-15 05:39:26,@Mario_Livio Hell of a wig collection too
179,2020-11-15 03:37:19,@michaelmina_lab It would be great if labs could give people this level of granular feedback in their results
180,2020-11-15 03:19:00,RT @michaelmina_lab: @elonmusk Great question! It’s more complex question and depends on why the test is being used - ie: do you want to kn…
181,2020-11-15 02:52:28,Worth reading this thread if you’re curious about rona testing https://t.co/FA6kD61eBA
182,2020-11-15 02:39:19,"@stonkmanup @michaelmina_lab They should be imo. If you get a blood pressure test, they tell you the number, not ju… https://t.co/tWl0Dgurmk"
183,2020-11-15 00:42:50,"@AstroJordy @erujabidi A little up &amp; down. Feels just like a regular cold, but more body achy &amp; cloudy head than co… https://t.co/ihVPeox7m6"
184,2020-11-15 00:37:50,"@michaelmina_lab In your opinion, at what Ct number for the cov2 N1 gene should a PCR test probably be regarded as… https://t.co/emuXLx698G"
185,2020-11-14 23:49:24,@michaelmina_lab @stendeck77 !
186,2020-11-14 23:09:27,"@teslaownerssv Cool, but please be super cautious. Expect two steps forward, one back. Lot of new code was merged."
187,2020-11-14 22:43:18,@austinbarnard45 Just a scratch. We can buff it out.
188,2020-11-14 22:42:35,"@erujabidi Am getting wildly different results from different labs, but most likely I have a moderate case of covid… https://t.co/XLBAHahJOj"
189,2020-11-14 21:33:02,@WhatsupFranks @lexfridman NPCs all the way up
190,2020-11-14 20:25:34,@lexfridman Ahem
191,2020-11-14 20:13:06,Unless you’re on DMT
192,2020-11-14 20:11:13,"Laws of thermodynamics:
1. You can’t win
2. You can’t break even
3. You can’t stop playing"
193,2020-11-14 19:51:56,Shakes fist at entropy
194,2020-11-14 16:10:16,@RealNattastic Big expansion of beta program in 6 to 8 weeks!
195,2020-11-14 08:45:04,@robintosh_nunez @PPathole Interesting. My Thursday night saliva sample came back today with N1 gene (unique to cov… https://t.co/Tm7cs8oTdT
196,2020-11-14 08:26:05,@ICannot_Enough @JohnnaCrider1 What’s honey?
197,2020-11-14 06:33:48,@slashdot Feels that way
198,2020-11-14 06:24:19,@WhatsupFranks @bluemoondance74 @StephenKing This seems accurate
199,2020-11-14 06:11:36,@bluemoondance74 @StephenKing Cold symptoms are gone for now 😀🚀💫
200,2020-11-14 05:00:38,@StephenKing There are degrees of pos
201,2020-11-14 00:43:52,@MrSammy_H @pelagicbird @max_roi @rossy65 Heneghan makes a lot of sense. Hilarious that he has to clarify that he r… https://t.co/MlXngcSA9T
202,2020-11-14 00:31:54,@WhatsupFranks The number of PCR amplification cycles required to detect the virus is a rough indicator of your vir… https://t.co/mn8192hUeQ
203,2020-11-13 23:32:16,@MrSammy_H @max_roi @rossy65 This a great reference! Worth a read.
204,2020-11-13 23:22:43,Case closed https://t.co/pUYiJcAdD6
205,2020-11-13 23:15:38,Soon https://t.co/mWOpR7W8kk
206,2020-11-13 22:21:06,"@PPathole Fwiw, lab I just spoke to thinks below 30 is accurate, 30 to 40 gets dicey &amp; above 40 is bs. Will talk to… https://t.co/K77wXQ11yt"
